date,type,categories,value,balance
2020-04-01,direct debit,investment,-70,344.55
2020-04-01,direct debit,LISA,-38,337.55
2020-04-01,direct debit,utility bills,-21,305.55
2020-04-01,direct debit,LISA,-7,368.55
2020-04-01,direct debit,car loan,-120.78,365.55
2020-04-01,digital banking payment,credit card,-139.88,457.33
2020-04-01,bank automated clearing,husband,241,628.21
2020-04-01,direct debit,council tax,-167.3,443.21
2020-04-01,direct debit,council tax,-50.96,501.51
2020-03-01,direct debit,LISA,-24,562.47
2020-03-01,point of sale,personal - small,39,546.47
2020-03-01,point of sale,food,24.1,546.47
2020-03-01,digital banking payment,credit card,-446.46,556.37
2020-03-01,digital banking payment,rent,-438,1033.83
2020-03-01,bank automated clearing,salary,1390.66,1439.83
2020-03-01,cash line,food,-51,101.17
2020-03-01,direct debit,LISA,-23,102.17
2020-03-01,digital banking payment,credit card,-124.78,40.17
2020-03-01,point of sale,investment,-162,220.95
2020-03-01,digital banking payment,husband,-31,404.95
2020-03-01,direct debit,utility bills,-54.9,382.95
2020-03-01,direct debit,investment,21,445.85
2020-03-01,direct debit,LISA,34,457.85
2020-03-01,direct debit,utility bills,42,447.85
2020-03-01,direct debit,LISA,31,417.85
2020-03-01,NA,credit card,69,450.85
2020-03-01,point of sale,utility bills,-1.07,406.85
2020-03-01,direct debit,car loan,-153.78,405.92
2020-03-01,direct debit,utility bills,-43,546.7
2020-03-01,direct debit,LISA,39,604.7
2020-03-01,point of sale,husband,-46.66,658.7
2020-02-01,digital banking payment,savings,-514,720.36
2020-02-01,digital banking payment,credit card,-214.97,1135.36
2020-02-01,digital banking payment,rent,-427,1416.33
2020-02-01,bank automated clearing,salary,1381.78,1840.33
2020-02-01,cash line,food,-40,419.55
2020-02-01,direct debit,LISA,1,512.55
2020-02-01,direct debit,utility bills,-16.9,436.55
2020-02-01,direct debit,investment,13,525.45
2020-02-01,direct debit,LISA,39,457.45
2020-02-01,cash line,personal - small,11,541.45
2020-02-01,direct debit,LISA,46,498.45000000000005
2020-02-01,digital banking payment,credit card,-124.66,521.45
2020-02-01,interest,credit card,30.6,695.11
2020-02-01,direct debit,utility bills,-40,635.51
2020-02-01,point of sale,investment,-9,692.51
2020-02-01,direct debit,car loan,-186.78,648.51
2020-02-01,direct debit,utility bills,-96,807.29
2020-02-01,direct debit,LISA,-48,905.29
2020-01-01,cash line,food,26,900.29
2020-01-01,direct debit,LISA,-37,877.29
2020-01-01,international transfer,bonus,117,902.29
2020-01-01,digital banking payment,credit card,-13.489999999999998,887.29
2020-01-01,digital banking payment,savings,-516,844.78
2020-01-01,digital banking payment,credit card,-100.94999999999999,1360.78
2020-01-01,digital banking payment,rent,-425,1552.73
2020-01-01,digital banking payment,parents,-26,1977.73
2020-01-01,digital banking payment,parents,-1999,2008.73
2020-01-01,bank automated clearing,savings,1659.32,3939.73
2020-01-01,bank automated clearing,salary,1392.87,2345.41
2020-01-01,bank automated clearing,bonus,2297,940.54
2020-01-01,direct debit,LISA,25,-1302.46
2020-01-01,point of sale,investment,30,-1302.46
2020-01-01,point of sale,investment,-42,-1386.46
2020-01-01,direct debit,investment,-70,-1294.46
2020-01-01,direct debit,utility bills,-48.989999999999995,-1333.46
2020-01-01,direct debit,LISA,23,-1299.47
2020-01-01,direct debit,utility bills,18,-1338.47
2020-01-01,direct debit,LISA,-44,-1318.47
2020-01-01,digital banking payment,credit card,-285.03,-1324.47
2020-01-01,digital banking payment,parents,-16,-981.44
2020-01-01,NA,credit card,202.97,-892.44
2020-01-01,direct debit,car loan,-154.78,-1062.41
2020-01-01,direct debit,council tax,-48,-937.63
2020-01-01,direct debit,utility bills,-84,-834.63
2019-12-01,direct debit,LISA,9,-780.63
2019-12-01,direct debit,LISA,20,-814.63
2019-12-01,point of sale,husband,-1297.84,-725.63
2019-12-01,point of sale,husband,-1665.3,577.21
2019-12-01,digital banking payment,credit card,-43.77,2235.51
2019-12-01,bank automated clearing,savings,1487,2302.28
2019-12-01,cash line,food,-18,743.28
2019-12-01,digital banking payment,rent,-483,750.28
2019-12-01,bank automated clearing,salary,1452.87,1277.28
2019-12-01,direct debit,investment,-4,-131.59
2019-12-01,direct debit,LISA,-44,-124.59
2019-12-01,bank automated clearing,bonus,13.36,-187.59
2019-12-01,direct debit,utility bills,-55.989999999999995,-116.94999999999999
2019-12-01,direct debit,utility bills,1,-166.96
2019-12-01,direct debit,LISA,-6,-155.96
2019-12-01,direct debit,car loan,-121.78,-103.96
2019-12-01,point of sale,personal - big,-259,55.82
2019-12-01,direct debit,utility bills,-35,308.82
2019-12-01,direct debit,council tax,-139,379.82
2019-12-01,direct debit,LISA,4,490.82
2019-11-01,digital banking payment,credit card,-275.12,446.82
2019-11-01,digital banking payment,credit card,-45.97,792.94
2019-11-01,digital banking payment,rent,-429,825.91
2019-11-01,bank automated clearing,salary,1397.77,1285.91
2019-11-01,direct debit,LISA,20,-100.86000000000001
2019-11-01,digital banking payment,parents,229,-131.86
2019-11-01,direct debit,investment,13,-384.86
2019-11-01,direct debit,LISA,-12,-362.86
2019-11-01,direct debit,utility bills,-8.989999999999998,-354.86
2019-11-01,direct debit,LISA,29,-268.87
2019-11-01,direct debit,utility bills,27,-327.87
2019-11-01,digital banking payment,credit card,-100.41999999999999,-293.87
2019-11-01,direct debit,car loan,-192.78,-137.45
2019-11-01,direct debit,LISA,-43,-17.67
2019-11-01,direct debit,utility bills,-22.64,40.33
2019-11-01,direct debit,council tax,-83,190.97
2019-10-01,point of sale,car insurance,-507.76,212.97
2019-10-01,digital banking payment,credit card,-387.33,688.73
2019-10-01,digital banking payment,rent,-509,1100.06
2019-10-01,bank automated clearing,salary,1401.6,1583.06
2019-10-01,bank automated clearing,bonus,64,108.46000000000001
2019-10-01,direct debit,investment,-64,105.46
2019-10-01,point of sale,petrol,-36.6,78.46
2019-10-01,direct debit,utility bills,-50.989999999999995,167.06
2019-10-01,direct debit,utility bills,1,117.05000000000001
2019-10-01,digital banking payment,savings,-139,143.05
2019-10-01,direct debit,car loan,-163.78,254.05
2019-10-01,cash line,personal - small,-45,378.83
2019-10-01,direct debit,utility bills,-44.64,393.83
2019-10-01,direct debit,council tax,-91,457.47
2019-10-01,digital banking payment,credit card,-469.42,628.47
2019-09-01,cash line,personal - small,-73,996.8900000000001
2019-09-01,digital banking payment,rent,-489,1037.89
2019-09-01,point of sale,bonus,-6,1502.89
2019-09-01,bank automated clearing,salary,1404.6,1572.89
2019-09-01,cash line,personal - small,-62,68.29
2019-09-01,direct debit,investment,-18,120.29
2019-09-01,direct debit,car insurance,-62.19,109.28999999999999
2019-09-01,direct debit,utility bills,28.01,158.48
